Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22
FALSE,15.25mi Long,Street Running,15.2mi Scotch Plainst and back,4/15/2014 8:50,2:24:18,13.41,300,10:46,5:25,157,169,"1,600",10.76,"22,655.10",0.0706,111,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6mi Easy,Street Running,"5k Sherman, Foster, McDonnough, Grant",4/10/2014 5:56,1:01:28,6.25,28,9:50,7:44,157,172,476,9.83,"9,650.27",0.0493,77,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,4/9/2014 6:14,0:33:50,3.47,18,9:45,6:45,153,173,279,9.75,"5,176.50",0.0539,82,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,Long 13.5mi,Street Running,13mi Sleepy Hollow and back,4/6/2014 7:37,2:21:47,13.57,733,10:27,7:21,162,183,"1,218",10.45,"22,968.90",0.053,86,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,4/3/2014 6:15,0:34:49,3.5,15,9:58,7:36,151,173,281,9.95,"5,257.32",0.0534,81,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,5mi Easy,Street Running,Between New Brunswick and Clinton,4/1/2014 6:15,0:48:27,4.95,20,9:48,7:09,156,173,403,9.79,"7,558.20",0.0533,83,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6mi Easy,Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,3/29/2014 9:58,1:00:20,6.16,235,9:48,7:13,162,181,533,9.79,"9,774.00",0.0545,88,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,3/24/2014 6:18,0:31:24,3.17,13,9:55,4:23,152,173,253,9.91,"4,772.80",0.053,81,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.5mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,3/22/2014 7:41,0:33:27,3.48,15,9:37,5:38,158,178,284,9.61,"5,285.10",0.0537,85,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.3mi Easy,Street Running,3.34m Sherman/Tompkins/Plainfield/Sampton/Clinton,3/19/2014 6:15,0:34:08,3.31,16,10:19,6:46,152,170,270,10.31,"5,188.27",0.052,79,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,11mi Long,Street Running,10mi Tompkins/SpringLake/Woodland/SleepyHollow/Randolph,3/16/2014 6:24,1:56:30,10.9,201,10:41,5:14,158,199,941,10.69,"18,407.00",0.0511,81,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,3/14/2014 6:16,0:33:10,3.26,14,10:11,7:36,156,171,279,10.17,"5,174.00",0.0539,84,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,3/12/2014 5:58,0:33:26,3.29,14,10:09,7:36,157,189,273,10.16,"5,249.03",0.052,82,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6mi Long(er),Street Running,6.1m 8th/Kenyon/SpringLake/Clinton,3/9/2014 8:39,1:01:41,6.16,240,10:01,6:52,161,174,540,10.01,"9,931.02",0.0544,88,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4mi Easy,Treadmill Running,--,3/7/2014 6:11,0:41:02,3.91,--,10:30,7:28,156,175,345,10.49,"6,401.20",0.0539,84,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4mi Easy,Treadmill Running,--,3/5/2014 6:12,0:42:00,3.89,--,10:48,4:41,157,183,347,10.8,"6,594.00",0.0526,83,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Treadmill Running,--,3/3/2014 11:02,0:32:48,3.15,--,10:24,5:41,164,185,288,10.41,"5,379.20",0.0535,88,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy,Treadmill Running,--,3/1/2014 9:17,0:33:01,3.11,--,10:37,6:02,161,179,286,10.62,"5,315.68",0.0538,87,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,10mi Long,Treadmill Running,--,2/9/2014 9:14,1:51:19,10.29,--,10:49,5:08,158,181,902,10.82,"17,588.03",0.0513,81,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy,Treadmill Running,--,2/6/2014 6:11,0:31:31,3.13,--,10:05,5:08,152,171,245,10.07,"4,790.53",0.0511,78,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4.2mi Easy,Treadmill Running,--,2/4/2014 6:22,0:43:34,4.29,--,10:09,6:11,146,173,330,10.16,"6,360.73",0.0519,76,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3mi Easy - back on the streets!,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,2/2/2014 7:11,0:29:37,3.1,9,9:32,1:05,155,172,247,9.55,"4,590.58",0.0538,83,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4mi Easy,Treadmill Running,--,1/31/2014 6:11,0:43:46,4.31,--,10:09,5:46,151,180,335,10.15,"6,608.77",0.0507,77,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,4mi Easy,Treadmill Running,--,1/29/2014 6:15,0:44:33,4.02,--,11:06,7:52,149,172,341,11.08,"6,637.95",0.0514,77,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6.2mi Easy,Treadmill Running,--,1/26/2014 11:30,1:11:23,6.45,--,11:04,4:16,153,179,555,11.07,"10,921.65",0.0508,78,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.2 mi Easy @ Dreadmill,Treadmill Running,--,1/23/2014 6:16,0:34:38,3.49,--,9:55,3:00,150,177,274,9.92,"5,195.00",0.0527,79,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,2.6 mi Easy,Treadmill Running,--,1/20/2014 8:13,0:35:00,2.6,--,13:20,--,--,--,--,13.46,#VALUE!,#VALUE!,#VALUE!,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,1/9/2014 6:26,0:29:47,3.08,15,9:40,6:23,155,175,246,9.67,"4,616.42",0.0533,83,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,6mil Easy @ Dreadmill,Running,--,1/6/2014 19:18,1:10:13,6,0,11:46,1:42,133,161,495,11.7,"9,338.82",0.053,70,Dyad 7,--,--,#VALUE!,#VALUE!
FALSE,3.1mi Easy,Street Running,5k Loop Sherman/8th/Plainfield/Tompkins,1/2/2014 6:33,0:31:14,3.09,15,10:06,5:51,148,161,247,10.11,"4,622.53",0.0534,79,Dyad 7,--,--,#VALUE!,#VALUE!
